country,count
Netherlands,35061985
Spain,1007465
France,805421
Germany,442382
Portugal,239004
Greece,158981
Romania,123066
Gambia,114257
Morocco,101101
Switzerland,100172
South Africa,89648
United States,83408
United Kingdom,72491
Austria,71893
Italy,71165
Georgia,71015
Israel,60808
Bulgaria,59143
Costa Rica,54217
Poland,48461
Oman,47998
Norway,43812
Australia,42266
Hungary,41539
India,37738
Suriname,33873
Sweden,33251
Sri Lanka,32631
Turkey,27892
Ethiopia,27420
Croatia,26487
Iceland,24732
Thailand,24132
Malaysia,21737
Ecuador,21187
Caribbean Netherlands,20984
Luxembourg,20299
Kenya,19634
Slovenia,19430
Peru,18850
Brazil,18646
Senegal,18306
Indonesia,17854
Finland,17208
Canada,16435
Armenia,16284
Ghana,15134
Tanzania,14529
Egypt,14284
Estonia,14258
Uganda,13905
China,13736
Lithuania,13378
New Zealand,12994
New Caledonia,12808
Nepal,12399
Madagascar,11309
Ireland,11246
Denmark,11101
North Macedonia,10751
Cyprus,10575
Curaçao,9794
Panama,9570
Svalbard & Jan Mayen,8716
Czechia,8698
Argentina,8442
Sint Maarten,8307
Botswana,7985
Mexico,7978
Belarus,7889
Cape Verde,7062
Cuba,6807
Colombia,6574
Vietnam,5687
Mauritania,5432
Palestinian Territories,5143
,5017
Serbia,4978
Slovakia,4721
Iran,4084
Montenegro,4030
Japan,3929
Jordan,3512
Guinea,3382
Aruba,3350
Bosnia & Herzegovina,3338
Albania,3280
Taiwan,3107
Russia,3002
Zambia,2850
Singapore,2849
Myanmar (Burma),2815
Antarctica,2792
Azerbaijan,2697
Chile,2319
United Arab Emirates,2237
Eswatini,1811
Congo - Kinshasa,1800
Zimbabwe,1730
Kazakhstan,1569
Philippines,1558
Mongolia,1547
Côte d’Ivoire,1513
Malta,1477
Western Sahara,1404
Qatar,1379
South Georgia & South Sandwich Islands,1282
Seychelles,1210
Benin,1187
Bolivia,1138
Cambodia,1039
South Korea,928
Nigeria,926
Latvia,881
Falkland Islands,853
Kyrgyzstan,831
Ukraine,713
St. Helena,710
São Tomé & Príncipe,657
Kuwait,656
Andorra,649
Sudan,635
Dominican Republic,632
Nicaragua,621
Tunisia,620
Trinidad & Tobago,617
Guinea-Bissau,605
Mauritius,536
Puerto Rico,484
Cameroon,474
Faroe Islands,460
Algeria,459
Gibraltar,454
Venezuela,453
Liechtenstein,439
Guatemala,420
Malawi,419
Rwanda,408
Bhutan,359
Syria,334
Belgium,321
Lesotho,319
Uruguay,294
Saudi Arabia,283
Paraguay,278
Greenland,271
Congo - Brazzaville,267
Laos,261
French Guiana,228
Gabon,228
Jamaica,226
Belize,212
Mali,208
Burundi,200
Togo,181
Bangladesh,154
Chad,152
Angola,149
Yemen,130
Guadeloupe,128
Mozambique,126
Djibouti,117
Monaco,112
Papua New Guinea,105
Tonga,97
Somalia,93
Central African Republic,83
Fiji,79
Réunion,74
Bahamas,73
Iraq,73
Burkina Faso,67
Moldova,67
Solomon Islands,67
Libya,64
Liberia,51
Pakistan,51
Dominica,49
Cook Islands,48
French Southern Territories,47
Honduras,47
Sierra Leone,44
Vanuatu,43
Niger,40
Maldives,39
Uzbekistan,37
St. Kitts & Nevis,36
Haiti,32
Lebanon,31
Macao SAR China,27
Brunei,26
Bahrain,25
Guyana,25
El Salvador,24
Mayotte,24
Turkmenistan,23
Martinique,20
North Korea,20
Tajikistan,18
St. Vincent & Grenadines,15
Anguilla,14
San Marino,13
Antigua & Barbuda,12
Comoros,10
French Polynesia,10
Cayman Islands,9
Micronesia (Federated States of),7
Barbados,4
Eritrea,4
Afghanistan,3
Equatorial Guinea,3
Northern Mariana Islands,3
Pitcairn Islands,3
Christmas Island,2
Guernsey,2
Palau,2
Jersey,1
St. Lucia,1
St. Pierre & Miquelon,1
U.S. Virgin Islands,1
