Var1,Freq
Buteo buteo,693392
Ardea alba,522755
Ardea cinerea,520202
Fulica atra,465469
Fringilla coelebs,460626
Turdus merula,440867
Phylloscopus collybita,407264
Parus major,391085
Aythya fuligula,390869
Anas platyrhynchos,387396
Cygnus olor,387223
Chroicocephalus ridibundus,387018
Columba palumbus,371701
Falco tinnunculus,371359
Anser anser,355126
Podiceps cristatus,345763
Vanellus vanellus,309383
Phalacrocorax carbo,298524
Erithacus rubecula,295908
Cyanistes caeruleus,289703
Dendrocopos major,275644
Platalea leucorodia,270453
Mareca strepera,260397
Coloeus monedula,240971
Ciconia ciconia,234235
Carduelis carduelis,229519
Saxicola rubicola,228334
Vanessa atalanta,224533
Passer domesticus,221801
Turdus philomelos,213680
Alcedo atthis,207998
Emberiza schoeniclus,201961
Capreolus capreolus,198543
Alopochen aegyptiaca,198463
Aegithalos caudatus,196835
Limosa limosa,196792
Troglodytes troglodytes,196442
Haematopus ostralegus,195146
Corvus corone,193780
Pararge aegeria,192943
Pieris rapae,192807
Tadorna tadorna,190656
Circus aeruginosus,190372
Gonepteryx rhamni,188012
Aglais io,181337
Motacilla alba,179737
Sitta europaea,175711
Pica pica,173595
Branta canadensis,166031
Recurvirostra avosetta,165649
Mareca penelope,161613
Numenius arquata,160045
Branta leucopsis,157650
Pieris napi,156417
Anthus pratensis,156342
Anas crecca,153165
Tachybaptus ruficollis,151403
Maniola jurtina,150333
Prunella modularis,147948
Spatula clypeata,147843
Aglais urticae,146446
Tringa totanus,141400
Garrulus glandarius,137985
Lepus europaeus,135775
Linaria cannabina,134632
Certhia brachydactyla,132900
Aythya ferina,130758
Vanessa cardui,130689
Chloris chloris,125696
Phasianus colchicus,123610
Sturnus vulgaris,121643
Oenanthe oenanthe,117006
Charadrius dubius,116858
Luscinia svecica,115469
Egretta garzetta,112650
Polyommatus icarus,109714
Falco peregrinus,109015
Streptopelia decaocto,108498
Lycaena phlaeas,107741
Gallinula chloropus,106659
Gallinago gallinago,105515
Hirundo rustica,104360
Bucephala clangula,103063
Orthetrum cancellatum,101385
Emberiza citrinella,100657
Sylvia atricapilla,100338
Ischnura elegans,98831
Polygonia c-album,95575
Anser albifrons,95171
Talpa europaea,93514
Mergus merganser,91675
Coenonympha pamphilus,90950
Anthocharis cardamines,88499
Pieris brassicae,88350
Arenaria interpres,81608
Charadrius hiaticula,77557
Phylloscopus trochilus,76723
Alauda arvensis,75540
Mergellus albellus,73826
Cuculus canorus,73059
Columba oenas,72728
Spatula querquedula,72702
Anas acuta,72597
Accipiter nisus,71567
Oryctolagus cuniculus,71440
Passer montanus,70537
Celastrina argiolus,70359
Regulus regulus,70354
Anax imperator,70320
Larus fuscus,69981
Pyrrhula pyrrhula,69378
Larus argentatus,68813
Phoenicurus ochruros,67636
Haliaeetus albicilla,67151
Aeshna mixta,65856
Libellula quadrimaculata,64476
Branta bernicla,63865
Perdix perdix,63010
Araschnia levana,62955
Lanius excubitor,62764
Picus viridis,62205
Somateria mollissima,62069
Dryocopus martius,61706
Tringa ochropus,58347
Autographa gamma,58297
Cettia cetti,58167
Himantopus himantopus,57981
Podiceps nigricollis,57527
Phoenicurus phoenicurus,57374
Grus grus,56684
Athene noctua,56096
Larus canus,55589
Enallagma cyathigerum,55133
Vulpes vulpes,54860
Anthus trivialis,54847
Mergus serrator,53538
Sciurus vulgaris,53037
Erinaceus europaeus,51437
Pyrrhosoma nymphula,51259
Lophophanes cristatus,50254
Tettigonia viridissima,50141
Coenagrion puella,49276
Calopteryx splendens,47943
Sympetrum sanguineum,47696
Pyronia tithonus,47027
Pandion haliaetus,46316
Lullula arborea,46212
Sympetrum striolatum,45863
Acrocephalus scirpaceus,44556
Netta rufina,43574
Spinus spinus,42257
Turdus pilaris,42093
Ochlodes sylvanus,41953
Circus cyaneus,41943
Rallus aquaticus,41765
Falco subbuteo,41656
Apus apus,41522
Motacilla cinerea,41249
Cygnus columbianus bewickii,40989
Rana temporaria,40971
Psittacula krameri,40812
Bubulcus ibis,40566
Delichon urbicum,40249
Turdus viscivorus,40005
Thymelicus lineola,39958
Chalcolestes viridis,39142
Lanius collurio,39044
Coccothraustes coccothraustes,38817
Ichthyaetus melanocephalus,38741
Bufo bufo,38163
Libellula depressa,38149
Riparia riparia,38101
Aeshna isoceles,37975
Lasiommata megera,37664
Colias crocea,37562
Ardea purpurea,37408
Tadorna ferruginea,36966
Thalasseus sandvicensis,36292
Panurus biarmicus,35307
Phoca vitulina,34770
Taraxacum officinale s.l. (incl. all sec.),34692
Luscinia megarhynchos,34146
Papilio machaon,34074
Fringilla montifringilla,33448
Sympetrum vulgatum,32569
Larus michahellis,32339
Calidris maritima,32333
Buteo lagopus,32088
Urtica dioica,31682
Upupa epops,31396
Pseudochorthippus parallelus,31210
Pelophylax spec.,31199
Actitis hypoleucos,31161
Serinus serinus,31143
Coenagrion pulchellum,30728
Plantago lanceolata,30254
Aphantopus hyperantus,29958
Dendrocoptes medius,29841
Emberiza calandra,29835
Turdus iliacus,29760
Erythromma najas,29657
Anthriscus sylvestris,29620
Asio otus,29437
Platycnemis pennipes,29414
Galerida cristata,29218
Achillea millefolium,28962
Ficedula hypoleuca,28953
Glechoma hederacea,28891
Chorthippus biguttulus,28445
Sterna hirundo,28403
Aricia agestis,28291
Lacerta agilis,28277
Milvus milvus,28269
Gavia stellata,28030
Botaurus stellaris,28012
Anser anser forma domestica,27966
Cordulia aenea,27664
Cygnus cygnus,27620
Motacilla flava,27158
Muscicapa striata,27035
Zootoca vivipara,26847
Corvus cornix,26821
Plegadis falcinellus,26673
Calidris pugnax,26590
Aeshna grandis,26495
Cirsium arvense,26350
Brachytron pratense,26279
Phylloscopus inornatus,26206
Chorthippus brunneus,25923
Castor fiber,25710
Corvus frugilegus,25566
Tringa nebularia,25494
Corvus corax,25333
Bellis perennis,25267
Acrocephalus schoenobaenus,25135
Quercus robur,24857
Aeshna cyanea,24792
Sympecma fusca,24683
Phoenicopterus roseus,24633
Lestes sponsa,24614
Calidris alpina,24569
Bombycilla garrulus,24313
Phragmites australis,24288
Regulus ignicapilla,24240
Merops apiaster,23933
Trifolium pratense,23450
Sympetrum danae,23214
Lissotriton vulgaris,23105
Turdus torquatus,23069
Issoria lathonia,22923
Melanitta nigra,22896
Stellaria media,22738
Rumex obtusifolius,22736
Oriolus oriolus,22627
Cirsium vulgare,22392
Anthus petrosus,22259
Trifolium repens,21963
Leptophyes punctatissima,21956
Cardamine pratensis,21802
Lamium purpureum,21791
Ficaria verna,21757
Sylvia communis,21614
Ranunculus repens,21585
Plectrophenax nivalis,21235
Crocothemis erythraea,21182
Sylvia melanocephala,21176
Galium aparine,21061
Clangula hyemalis,21020
Milvus migrans,20863
Peribatodes rhomboidaria,20652
Dactylis glomerata,20596
Capsella bursa-pastoris,20509
Heracleum sphondylium,20487
Anthus spinoletta,20442
Phocoena phocoena,20191
Gyps fulvus,20125
Branta ruficollis,20076
Favonius quercus,20067
Tanacetum vulgare,20004
Cygnus atratus,19950
Ciconia nigra,19921
Phalacrocorax aristotelis,19790
Cisticola juncidis,19587
Poa annua,19559
Halichoerus grypus,19446
Artemisia vulgaris,19332
Tussilago farfara,19236
Calidris alba,19151
Sambucus nigra,19137
Ranunculus acris,19090
Cytisus scoparius,19054
Hydroprogne caspia,18862
Lestes virens,18827
Lamium album,18750
Oedipoda caerulescens,18730
Sturnus unicolor,18709
Podiceps grisegena,18642
Chlidonias hybrida,18538
Argynnis paphia,18493
Libellula fulva,18393
Senecio vulgaris,18245
Cervus elaphus,18210
Calluna vulgaris,18196
Callophrys rubi,18190
Opisthograptis luteolata,17965
Nycticorax nycticorax,17930
Epilobium hirsutum,17628
Dryobates minor,17560
Saxicola rubetra,17559
Hypochaeris radicata,17524
Silene flos-cuculi,17442
Cardamine hirsuta,17219
Plebejus argus,17207
Circaetus gallicus,17120
Epidalea calamita,17049
Convolvulus sepium,16962
Juncus effusus,16908
Asio flammeus,16868
Lanius senator,16845
Iris pseudacorus,16824
Tringa glareola,16808
Erythromma viridulum,16773
Rumex acetosa,16727
Symphytum officinale,16726
Idaea aversata,16696
Sus scrofa,16681
Coccinella septempunctata,16612
Senecio inaequidens,16593
Alliaria petiolata,16437
Larus marinus,16427
Hipparchia semele,16285
Geranium robertianum,16233
Jacobaea vulgaris,16216
Camptogramma bilineata,16210
Palomena prasina,16150
Silene dioica,16145
Equisetum arvense,16140
Columba livia domestica,16114
Meles meles,16061
Noctua pronuba,16042
Roeseliana roeselii,16007
Tyria jacobaeae,15973
Polygonum aviculare,15923
Centaurea jacea,15904
Leucorrhinia rubicunda,15842
Cochlearia danica,15770
Larus cachinnans,15667
Strix aluco,15667
Gymnoscelis rufifasciata,15610
Sympetrum fonscolombii,15529
Natrix helvetica,15519
Phalaropus lobatus,15514
Aegopodium podagraria,15278
Erigeron canadensis,15260
Cydalima perspectalis,15236
Lythrum salicaria,15233
Potentilla anserina,15215
Eupatorium cannabinum,15200
Holcus lanatus,15195
Gavia immer,15165
Alnus glutinosa,15075
Sorbus aucuparia,15070
Ceriagrion tenellum,14992
Apodemus sylvaticus,14991
Lycopus europaeus,14964
Anemone nemorosa,14947
Plutella xylostella,14885
Linaria vulgaris,14847
Crataegus monogyna,14800
Ilex aquifolium,14754
Branta bernicla hrota,14724
Esox lucius,14692
Ardeola ralloides,14681
Acrocephalus arundinaceus,14567
Numenius phaeopus,14562
Plantago major subsp. major,14544
Uria aalge,14527
Rumex acetosella,14486
Geranium molle,14459
Macroglossum stellatarum,14413
Prunella vulgaris,14402
Dama dama,14336
Daucus carota,14312
Hedera helix,14303
Anser indicus,14268
Harmonia axyridis f. succinea,14221
Stethophyma grossum,14219
Idaea seriata,14092
Chrysoteuchia culmella,14040
Cerastium fontanum subsp. vulgare,13954
Hypericum perforatum,13851
Mentha aquatica,13841
Xestia c-nigrum,13690
Lolium perenne,13669
Pluvialis squatarola,13663
Apis mellifera,13594
Pyrausta aurata,13586
Sonchus asper,13580
Pluvialis apricaria,13420
Anas platyrhynchos forma domestica,13397
Chenopodium album,13389
Ectropis crepuscularia,13360
Conocephalus dorsalis,13333
Sonchus oleraceus,13281
Sisymbrium officinale,13269
Lonicera periclymenum,13188
Anguis fragilis,13154
Lomaspilis marginata,13128
Lysimachia vulgaris,13102
Limenitis camilla,13019
Jynx torquilla,12973
Asplenium ruta-muraria,12933
Coreus marginatus,12911
Veronica arvensis,12885
Chelidonium majus,12854
Geum urbanum,12825
Valeriana officinalis,12804
Crepis capillaris,12752
Agrotis exclamationis,12582
Hyla arborea,12553
Corylus avellana,12548
Filipendula ulmaria,12441
Tringa erythropus,12426
Gentiana pneumonanthe,12405
Leucanthemum vulgare,12380
Lapsana communis,12347
Vicia cracca,12281
Dryopteris filix-mas,12225
Aythya nyroca,12196
Eristalis tenax,12135
Morus bassanus,12101
Prunus serotina,12059
Eremophila alpestris,12057
Podarcis muralis,12046
Melanitta fusca,12034
Medicago lupulina,11944
Solanum dulcamara,11934
Lycaena tityrus,11925
Rana arvalis,11923
Anania hortulata,11915
Branta bernicla nigricans,11881
Myrmeleotettix maculatus,11821
Sedum acre,11818
Episyrphus balteatus,11801
Larus glaucoides,11799
Charadrius alexandrinus,11753
Larus hyperboreus,11707
Pholidoptera griseoaptera,11693
Tripleurospermum maritimum,11680
Rumex crispus,11679
Streptopelia turtur,11627
Calopteryx virgo,11532
Accipiter gentilis,11531
Celypha lacunana,11522
Trifolium dubium,11515
Typha latifolia,11515
Veronica persica,11492
Fagus sylvatica,11477
Cirsium palustre,11466
Polygonatum multiflorum,11438
Charadrius morinellus,11358
Pulicaria dysenterica,11283
Xanthoria parietina,11269
Persicaria amphibia,11249
Phlogophora meticulosa,11218
Rhinanthus angustifolius,11166
Porzana porzana,11097
Bombus pascuorum,11080
Cerastium glomeratum,11055
Epipactis helleborine,11020
Cataclysta lemnata,10979
Galium mollugo,10913
Pernis apivorus,10901
Rivula sericealis,10851
Asplenium scolopendrium,10840
Matricaria discoidea,10823
Draba verna,10822
Rutilus rutilus,10730
Periparus ater,10719
Plantago coronopus,10698
Digitalis purpurea,10683
Perca fluviatilis,10664
Chamaenerion angustifolium,10656
Timandra comae,10655
Vipera berus,10637
Martes foina,10592
Dipsacus fullonum,10589
Argiope bruennichi,10587
Campaea margaritaria,10559
Ochropleura plecta,10551
Hieraaetus pennatus,10544
Erica tetralix,10508
Amanita muscaria,10431
Potentilla erecta,10400
Anser serrirostris,10310
Cecropis daurica,10304
Arrhenatherum elatius,10273
Omocestus viridulus,10272
Anthoxanthum odoratum,10259
Spilosoma lubricipeda,10252
Melanargia galathea,10246
Anser erythropus,10231
Matricaria chamomilla,10220
Emberiza cirlus,10213
Luzula campestris,10191
Drosera intermedia,10189
Dryopteris dilatata,10171
Galeopsis tetrahit,10170
Chorthippus albomarginatus,10112
Acer pseudoplatanus,10094
Circus pygargus,10083
Gavia arctica,10060
Fraxinus excelsior,10011
Agrotis puta,9995
Calidris ferruginea,9975
Limosa lapponica,9958
Betula pendula,9943
Heracleum mantegazzianum,9943
Rattus norvegicus,9923
Calidris minuta,9917
Vaccinium myrtillus,9877
Lotus corniculatus,9840
Cepphus grylle,9792
Stachys palustris,9777
Ixobrychus minutus,9693
Tyto alba,9661
Veronica hederifolia,9630
Arabidopsis thaliana,9621
Zygaena filipendulae,9585
Fabriciana niobe,9544
Chlidonias niger,9503
Xanthorhoe fluctuata,9491
Ceratocapnos claviculata,9444
Sagina procumbens,9443
Molinia caerulea,9435
Mustela putorius,9435
Erannis defoliaria,9404
Prunus spinosa,9401
Gryllus campestris,9394
Humulus lupulus,9356
Galium verum,9350
Gelochelidon nilotica,9305
Pilosella officinarum,9285
Pleuroptya ruralis,9276
Passer hispaniolensis,9265
Ranunculus sceleratus,9265
Emmelina monodactyla,9229
Abramis brama,9220
Operophtera brumata,9213
Festuca rubra,9181
Eryngium campestre,9157
Potentilla reptans,9151
Chlidonias leucopterus,9146
Ornithogalum umbellatum,9146
Harmonia axyridis,9123
Agriphila straminella,9088
Bromus hordeaceus,9063
Hypena proboscidalis,9063
Viola arvensis,9009
Parnassia palustris,9000
Lotus pedunculatus,8977
Pinus sylvestris,8963
Hippolais icterina,8954
Stellaria holostea,8934
