vernacularName,scientificName
Great Egret,Ardea alba
Common Buzzard,Buteo buteo
Grey Heron,Ardea cinerea
Eurasian Coot,Fulica atra
Common Blackbird,Turdus merula
Common Chaffinch,Fringilla coelebs
Common Chiffchaff,Phylloscopus collybita
Great Tit,Parus major
Mute Swan,Cygnus olor
Tufted Duck,Aythya fuligula
Mallard,Anas platyrhynchos
Common Wood Pigeon,Columba palumbus
Black-headed Gull,Chroicocephalus ridibundus
Greylag Goose,Anser anser
Common Kestrel,Falco tinnunculus
Great Crested Grebe,Podiceps cristatus
Great Cormorant,Phalacrocorax carbo
Northern Lapwing,Vanellus vanellus
Eurasian Blue Tit,Cyanistes caeruleus
Great Spotted Woodpecker,Dendrocopos major
European Robin,Erithacus rubecula
Western Jackdaw,Coloeus monedula
White Stork,Ciconia ciconia
Gadwall,Mareca strepera
Eurasian Spoonbill,Platalea leucorodia
Song Thrush,Turdus philomelos
House Sparrow,Passer domesticus
European Stonechat,Saxicola rubicola
European Goldfinch,Carduelis carduelis
Red Admiral,Vanessa atalanta
European Roe Deer,Capreolus capreolus
Common Reed Bunting,Emberiza schoeniclus
Long-tailed Tit,Aegithalos caudatus
Common Kingfisher,Alcedo atthis
Egyptian Goose,Alopochen aegyptiaca
Black-tailed Godwit,Limosa limosa
Carrion Crow,Corvus corone
Eurasian Wren,Troglodytes troglodytes
Eurasian Oystercatcher,Haematopus ostralegus
Speckled Wood,Pararge aegeria
Common Shelduck,Tadorna tadorna
Western Marsh Harrier,Circus aeruginosus
Peacock,Aglais io
Brimstone,Gonepteryx rhamni
Small White,Pieris rapae
Canada Goose,Branta canadensis
Pied Avocet,Recurvirostra avosetta
White Wagtail,Motacilla alba
Eurasian Nuthatch,Sitta europaea
Eurasian Magpie,Pica pica
Eurasian Wigeon,Mareca penelope
Eurasian Teal,Anas crecca
Eurasian Curlew,Numenius arquata
Little Grebe,Tachybaptus ruficollis
Barnacle Goose,Branta leucopsis
Meadow Pipit,Anthus pratensis
Green-veined White,Pieris napi
Eurasian Jay,Garrulus glandarius
Northern Shoveler,Spatula clypeata
Common Redshank,Tringa totanus
Dunnock,Prunella modularis
Small Tortoiseshell,Aglais urticae
Meadow Brown,Maniola jurtina
Painted Lady,Vanessa cardui
Common Pheasant,Phasianus colchicus
Common Pochard,Aythya ferina
Short-toed Treecreeper,Certhia brachydactyla
European Greenfinch,Chloris chloris
Common Linnet,Linaria cannabina
Brown Hare,Lepus europaeus
Common Moorhen,Gallinula chloropus
Common Starling,Sturnus vulgaris
Little Egret,Egretta garzetta
Peregrine Falcon,Falco peregrinus
Small Copper,Lycaena phlaeas
Eurasian Collared Dove,Streptopelia decaocto
Little Ringed Plover,Charadrius dubius
Common Blue,Polyommatus icarus
Northern Wheatear,Oenanthe oenanthe
Bluethroat,Luscinia svecica
Barn Swallow,Hirundo rustica
Greater White-fronted Goose,Anser albifrons
Eurasian Blackcap,Sylvia atricapilla
Common Snipe,Gallinago gallinago
Common Mole,Talpa europaea
Common Goldeneye,Bucephala clangula
Yellowhammer,Emberiza citrinella
Comma Butterfly,Polygonia c-album
Black-tailed Skimmer,Orthetrum cancellatum
Common Bluetail,Ischnura elegans
Common Cuckoo,Cuculus canorus
Willow Warbler,Phylloscopus trochilus
Stock Dove,Columba oenas
Eurasian Skylark,Alauda arvensis
Garganey,Spatula querquedula
Common Ringed Plover,Charadrius hiaticula
Ruddy Turnstone,Arenaria interpres
European Rabbit,Oryctolagus cuniculus
Large White,Pieris brassicae
Small Heath,Coenonympha pamphilus
Orange-tip,Anthocharis cardamines
Eurasian Sparrowhawk,Accipiter nisus
Northern Pintail,Anas acuta
Smew,Mergellus albellus
Common Merganser,Mergus merganser
Eurasian Tree Sparrow,Passer montanus
Eurasian Bullfinch,Pyrrhula pyrrhula
Great Grey Shrike,Lanius excubitor
Grey Partridge,Perdix perdix
Goldcrest,Regulus regulus
Holly Blue,Celastrina argiolus
Four-spotted Chaser,Libellula quadrimaculata
White-tailed Eagle,Haliaeetus albicilla
Lesser Black-backed Gull,Larus fuscus
European Herring Gull,Larus argentatus
Black Redstart,Phoenicurus ochruros
Map Butterfly,Araschnia levana
Brant Goose,Branta bernicla
Blue Emperor,Anax imperator
Migrant Hawker,Aeshna mixta
Common Eider,Somateria mollissima
Black-winged Stilt,Himantopus himantopus
Red Fox,Vulpes vulpes
European Green Woodpecker,Picus viridis
Common Redstart,Phoenicurus phoenicurus
Cetti's Warbler,Cettia cetti
Tree Pipit,Anthus trivialis
Black-necked Grebe,Podiceps nigricollis
European Crested Tit,Lophophanes cristatus
Common Bluet,Enallagma cyathigerum
Common Crane,Grus grus
Mew Gull,Larus canus
Black Woodpecker,Dryocopus martius
Silver Y,Autographa gamma
Large Red Damselfly,Pyrrhosoma nymphula
Western Hedgehog,Erinaceus europaeus
Little Owl,Athene noctua
Eurasian Red Squirrel,Sciurus vulgaris
Red-breasted Merganser,Mergus serrator
Green Sandpiper,Tringa ochropus
Eurasian Reed Warbler,Acrocephalus scirpaceus
Mistle Thrush,Turdus viscivorus
Common Swift,Apus apus
Red-crested Pochard,Netta rufina
Woodlark,Lullula arborea
Common House Martin,Delichon urbicum
Azure Bluet,Coenagrion puella
Banded Demoiselle,Calopteryx splendens
Rose-ringed Parakeet,Psittacula krameri
Eurasian Hobby,Falco subbuteo
Fieldfare,Turdus pilaris
Water Rail,Rallus aquaticus
Common Frog,Rana temporaria
Grey Wagtail,Motacilla cinerea
Western Cattle Egret,Bubulcus ibis
Western Osprey,Pandion haliaetus
Great Green Bush Cricket,Tettigonia viridissima
Large Skipper,Ochlodes sylvanus
Eurasian Siskin,Spinus spinus
Hen Harrier,Circus cyaneus
Ruddy Darter,Sympetrum sanguineum
Essex Skipper,Thymelicus lineola
Common Darter,Sympetrum striolatum
Bewick's Swan,Cygnus columbianus bewickii
Gatekeeper,Pyronia tithonus
Red-backed Shrike,Lanius collurio
Rough-legged Buzzard,Buteo lagopus
European Serin,Serinus serinus
Brambling,Fringilla montifringilla
Common Dandelion,Taraxacum officinale s.l. (incl. all sec.)
Variable Bluet,Coenagrion pulchellum
Ruddy Shelduck,Tadorna ferruginea
Wall Brown,Lasiommata megera
Common Nightingale,Luscinia megarhynchos
