Var1,Freq
Common Buzzard,693392
Great Egret,522755
Grey Heron,520202
Eurasian Coot,465469
Common Chaffinch,460626
Common Blackbird,440867
Common Chiffchaff,407264
Great Tit,391085
Tufted Duck,390869
Mallard,387396
Mute Swan,387223
Black-headed Gull,387018
Common Wood Pigeon,371701
Common Kestrel,371359
Greylag Goose,355126
Great Crested Grebe,345763
Northern Lapwing,309383
Great Cormorant,298524
European Robin,295908
Eurasian Blue Tit,289703
Great Spotted Woodpecker,275644
Eurasian Spoonbill,270453
Gadwall,260397
Western Jackdaw,240971
White Stork,234235
European Goldfinch,229519
European Stonechat,228334
Red Admiral,224535
House Sparrow,221801
Song Thrush,213680
Common Kingfisher,207998
Common Reed Bunting,201961
European Roe Deer,198543
Egyptian Goose,198463
Long-tailed Tit,198183
Black-tailed Godwit,196792
Eurasian Wren,196442
Eurasian Oystercatcher,195146
Carrion Crow,193780
Speckled Wood,192943
Small White,192807
Common Shelduck,190656
Western Marsh Harrier,190372
Brimstone,188012
Peacock,181337
White Wagtail,179737
Eurasian Nuthatch,175711
Eurasian Magpie,173595
Canada Goose,166031
Pied Avocet,165649
Eurasian Wigeon,161613
Eurasian Curlew,160045
Barnacle Goose,157650
Green-veined White,156417
Meadow Pipit,156342
Eurasian Teal,153165
Little Grebe,151403
Meadow Brown,150333
Dunnock,147948
Northern Shoveler,147843
Small Tortoiseshell,146446
Common Redshank,141400
Eurasian Jay,137985
Brown Hare,135775
Common Linnet,134632
Short-toed Treecreeper,132900
Common Pochard,130758
Painted Lady,130689
European Greenfinch,125696
Common Pheasant,123610
Common Starling,121643
Northern Wheatear,117006
Little Ringed Plover,116858
Bluethroat,115469
Little Egret,112650
Common Blue,109714
Peregrine Falcon,109015
Eurasian Collared Dove,108498
Small Copper,107741
Common Moorhen,106659
Common Snipe,105515
Barn Swallow,104360
Common Goldeneye,103063
Black-tailed Skimmer,101385
Yellowhammer,100657
Eurasian Blackcap,100338
Common Bluetail,98831
Comma Butterfly,95575
Greater White-fronted Goose,95171
Common Mole,93514
Common Merganser,91675
Small Heath,90950
Orange-tip,88499
Large White,88350
Ruddy Turnstone,81608
Common Ringed Plover,77557
Willow Warbler,76723
Eurasian Skylark,75540
Smew,73826
Common Cuckoo,73059
Stock Dove,72728
Garganey,72702
Northern Pintail,72597
Eurasian Sparrowhawk,71567
European Rabbit,71440
Eurasian Tree Sparrow,70537
Holly Blue,70359
Goldcrest,70354
Blue Emperor,70320
Lesser Black-backed Gull,69981
Eurasian Bullfinch,69378
European Herring Gull,68813
Black Redstart,67636
White-tailed Eagle,67151
Migrant Hawker,65856
Four-spotted Chaser,64476
Brant Goose,63865
Grey Partridge,63010
Map Butterfly,62955
Great Grey Shrike,62764
European Green Woodpecker,62205
Common Eider,62069
Black Woodpecker,61706
Green Sandpiper,58347
Silver Y,58297
Cetti's Warbler,58167
Black-winged Stilt,57981
Black-necked Grebe,57527
Common Redstart,57374
Common Crane,56684
Little Owl,56096
Mew Gull,55589
Common Bluet,55133
Red Fox,54860
Tree Pipit,54847
Red-breasted Merganser,53538
Eurasian Red Squirrel,53037
Western Hedgehog,51437
Large Red Damselfly,51259
European Crested Tit,50254
Great Green Bush Cricket,50141
Azure Bluet,49384
Banded Demoiselle,47943
Ruddy Darter,47696
Gatekeeper,47027
Western Osprey,46316
Woodlark,46212
Common Darter,45863
Eurasian Reed Warbler,44556
Red-crested Pochard,43574
Eurasian Siskin,42257
Common Swift,42184
Fieldfare,42093
Large Skipper,41953
Hen Harrier,41943
Water Rail,41765
Eurasian Hobby,41656
Grey Wagtail,41249
Bewick's Swan,40989
Common Frog,40971
Rose-ringed Parakeet,40812
Western Cattle Egret,40566
Common House Martin,40249
Mistle Thrush,40005
Essex Skipper,39958
Western Willow Spreadwing,39142
Red-backed Shrike,39044
Hawfinch,38817
Mediterranean Gull,38741
Common Toad,38163
Broad-bodied Chaser,38149
Sand Martin,38101
